"idSwarm","id","cpuPercentage","algorithm","req","runtime"
"pc1","us-central1-a",0.06,"stine",2,19.25
"pc1","us-central1-a",0.06,"stine",3,19.35
"pc1","us-central1-a",0.06,"stine",1,19.47
"pc1","us-central1-a",0.06,"stine",4,19.64
"pc1","us-central1-a",0.06,"stine",1,19.25
"pc1","us-central1-a",0.06,"stine",3,19.35
"pc1","us-central1-a",0.06,"stine",4,19.55
"pc1","us-central1-a",0.06,"stine",2,19.66
"pc1","us-central1-a",0.06,"stine",4,18.99
"pc1","us-central1-a",0.06,"stine",2,18.99
"pc1","us-central1-a",0.06,"stine",3,19.2
"pc1","us-central1-a",0.06,"stine",1,19.8
"pc1","us-central1-a",0.06,"stine",1,17.85
"pc1","us-central1-a",0.06,"stine",2,17.91
"pc1","us-central1-a",0.06,"stine",4,17.91
"pc1","us-central1-a",0.06,"stine",3,18.2
"pc1","us-central1-a",0.06,"stine",1,17.76
"pc1","us-central1-a",0.06,"stine",2,18
"pc1","us-central1-a",0.06,"stine",3,18
"pc1","us-central1-a",0.06,"stine",4,18.3
"pc1","us-central1-a",0.06,"stine",1,17.46
"pc1","us-central1-a",0.06,"stine",4,17.48
"pc1","us-central1-a",0.06,"stine",2,17.92
"pc1","us-central1-a",0.06,"stine",3,18.02
"pc1","us-central1-a",0.06,"stine",2,17.05
"pc1","us-central1-a",0.06,"stine",1,17.56
"pc1","us-central1-a",0.06,"stine",3,17.65
"pc1","us-central1-a",0.06,"stine",4,17.94
"pc1","us-central1-a",0.06,"stine",4,17.64
"pc1","us-central1-a",0.06,"stine",1,17.78
"pc1","us-central1-a",0.06,"stine",2,17.86
"pc1","us-central1-a",0.06,"stine",3,18.05
"pc1","us-central1-a",0.06,"stine",3,17.48
"pc1","us-central1-a",0.06,"stine",4,17.59
"pc1","us-central1-a",0.06,"stine",2,17.59
"pc1","us-central1-a",0.06,"stine",1,17.69
"pc1","us-central1-a",0.06,"stine",3,17.66
"pc1","us-central1-a",0.06,"stine",2,17.76
"pc1","us-central1-a",0.06,"stine",4,17.86
"pc1","us-central1-a",0.06,"stine",1,17.96
"pc1","us-central1-a",0.06,"stine",1,17.57
"pc1","us-central1-a",0.06,"stine",2,17.65
"pc1","us-central1-a",0.06,"stine",4,17.65
"pc1","us-central1-a",0.06,"stine",3,17.65
"pc1","us-central1-a",0.06,"stine",3,17.65
"pc1","us-central1-a",0.06,"stine",1,17.87
"pc1","us-central1-a",0.06,"stine",2,17.87
"pc1","us-central1-a",0.06,"stine",4,17.87
"pc1","us-central1-a",0.06,"stine",1,17.49
"pc1","us-central1-a",0.06,"stine",3,17.67
"pc1","us-central1-a",0.06,"stine",2,17.67
"pc1","us-central1-a",0.06,"stine",4,17.67
"pc1","us-central1-a",0.06,"stine",4,17.78
"pc1","us-central1-a",0.06,"stine",1,18.03
"pc1","us-central1-a",0.06,"stine",2,18.19
"pc1","us-central1-a",0.06,"stine",3,18.19
"pc1","us-central1-a",0.06,"stine",4,17.79
"pc1","us-central1-a",0.06,"stine",1,18.05
"pc1","us-central1-a",0.06,"stine",3,18.09
"pc1","us-central1-a",0.06,"stine",2,18.61
